queue_lag_1h,queue_lag_2h,queue_lag_3h,queue_lag_6h,queue_lag_12h,queue_lag_24h,queue_roll_mean_3h,queue_roll_std_3h,queue_roll_mean_6h,queue_roll_std_6h,queue_roll_mean_12h,queue_roll_std_12h,arrival_lag_1h,arrival_lag_3h,arrival_lag_6h,hour_sin,hour_cos,dow_sin,dow_cos
41.0,42.0,42.0,45.0,44.0,40.0,41.666666666666664,0.577350269189537,42.0,1.6733200530684036,42.75,1.4847711791870262,2.0,5.0,4.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
40.0,41.0,42.0,40.0,44.0,44.0,41.0,0.9999999999999485,41.166666666666664,0.9831920802505612,42.416666666666664,1.6213537179736146,1.0,4.0,3.0,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146
40.0,40.0,41.0,42.0,44.0,42.0,40.333333333333336,0.577350269189537,41.166666666666664,0.9831920802505612,42.083333333333336,1.6764862244006227,1.0,2.0,2.0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
44.0,40.0,40.0,42.0,42.0,42.0,41.333333333333336,2.3094010767584803,41.5,1.5165750888105736,42.083333333333336,1.6764862244006227,5.0,1.0,5.0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146
40.0,44.0,40.0,42.0,43.0,43.0,41.333333333333336,2.3094010767584803,41.166666666666664,1.602081978759959,41.916666666666664,1.7816403745541427,2.0,1.0,4.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146
42.0,40.0,44.0,41.0,44.0,46.0,42.0,1.999999999999973,41.166666666666664,1.602081978759959,41.833333333333336,1.749458790770753,2.0,5.0,2.0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146
41.0,42.0,40.0,40.0,45.0,43.0,41.0,0.9999999999999458,41.166666666666664,1.602081978759959,41.583333333333336,1.6213537179736248,2.0,2.0,1.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
42.0,41.0,42.0,40.0,40.0,44.0,41.666666666666664,0.5773502691895325,41.5,1.5165750888105747,41.333333333333336,1.230914909792934,5.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146
43.0,42.0,41.0,44.0,42.0,43.0,42.0,0.9999999999999458,42.0,1.4142135623734025,41.583333333333336,1.2401124093717497,6.0,2.0,5.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
43.0,43.0,42.0,40.0,42.0,44.0,42.666666666666664,0.5773502691895325,41.833333333333336,1.1690451944503748,41.666666666666664,1.302677894557481,5.0,5.0,2.0,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146
43.0,43.0,43.0,42.0,42.0,39.0,43.0,0.0,42.333333333333336,0.816496580928291,41.75,1.3568010505995722,2.0,6.0,2.0,0.0,1.0,-0.7818314824680299,0.6234898018587334
40.0,43.0,43.0,41.0,41.0,41.0,42.0,1.7320508075688466,42.0,1.264911064067698,41.583333333333336,1.4433756729737237,1.0,5.0,2.0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334
39.0,40.0,43.0,42.0,40.0,44.0,40.666666666666664,2.0816659994661064,41.666666666666664,1.751190071542063,41.416666666666664,1.6213537179736257,0.0,2.0,5.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
38.0,39.0,40.0,43.0,40.0,44.0,39.0,0.9999999999999432,41.0,2.2803508501984373,41.25,1.864744681523922,0.0,1.0,6.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334
39.0,38.0,39.0,43.0,44.0,44.0,38.666666666666664,0.5773502691895278,40.333333333333336,2.1602468994694353,41.166666666666664,1.9462473604035582,1.0,0.0,5.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
